분기	EWS_Result_Status	p_normal	p_caution	p_risk	overheat_flag	event_flag	Explanation_Top3
2010/Q1	Normal (정상)	0.809252616	0.090027378	0.100720006	0	0	S1_Accel: 0.00 | S1_Delta: 0.00 | S2_Delta: 0.00
2010/Q1	Normal (정상)	0.872088252	0.07932659	0.048585158	0	0	S1_Accel: 0.00 | S1_Delta: 0.00 | S2_Delta: 0.00
2010/Q2	Normal (정상)	0.863088252	0.08932659	0.047585158	0	0	S1_Accel: 0.00 | S1_Delta: 0.00 | S2_Delta: 0.00
2010/Q2	Normal (정상)	0.947791959	0.013944417	0.038263625	0	0	S1_Accel: 0.00 | S1_Delta: 5.09 | S2_Delta: -9.73
2010/Q3	Caution (주의)	0.176584992	0.722721045	0.100693963	0	0	S1_Accel: -7.46 | S1_Delta: -2.37 | S2_Delta: -7.73
2010/Q4	Caution (주의)	0.22669853	0.0821556	0.69114587	0	0	S1_Accel: 1.67 | S1_Delta: -0.69 | S2_Delta: 7.86
2011/Q1	Caution (주의)	0.069818397	0.843296138	0.086885465	0	0	S1_Accel: -6.91 | S1_Delta: -7.60 | S2_Delta: 4.83
2011/Q2	Normal (정상)	0.911192752	0.067160867	0.021646381	0	0	S1_Accel: 5.89 | S1_Delta: -1.72 | S2_Delta: -7.98
2011/Q3	Normal (정상)	0.773947614	0.195412087	0.0306403	0	0	S1_Accel: 6.94 | S1_Delta: 5.23 | S2_Delta: -2.15
2011/Q4	Caution (주의)	0.06876455	0.722055556	0.209179894	0	0	S1_Accel: -12.90 | S1_Delta: -7.67 | S2_Delta: -2.43
2012/Q1	Normal (정상)	0.782040206	0.190023198	0.027936596	0	0	S1_Accel: 29.53 | S1_Delta: 21.86 | S2_Delta: -0.49
2012/Q2	Danger (위험!!)	0.035757576	0.11032684	0.853915584	0	0	S1_Accel: -36.99 | S1_Delta: -15.13 | S2_Delta: -0.41
2012/Q3	Normal (정상)	0.621166291	0.134429054	0.244404655	0	0	S1_Accel: -4.38 | S1_Delta: -19.51 | S2_Delta: 7.00
2012/Q4	Normal (정상)	0.776096023	0.112632744	0.111271233	0	0	S1_Accel: 12.83 | S1_Delta: -6.68 | S2_Delta: 0.37
2013/Q1	Normal (정상)	0.769625103	0.148925435	0.081449463	0	0	S1_Accel: 24.51 | S1_Delta: 17.83 | S2_Delta: 2.67
2013/Q2	Normal (정상)	0.911640369	0.042908397	0.045451234	0	0	S1_Accel: -2.19 | S1_Delta: 15.64 | S2_Delta: -8.11
2013/Q3	Danger (위험!!)	0.066864719	0.14248557	0.790649711	0	0	S1_Accel: -17.22 | S1_Delta: -1.58 | S2_Delta: 2.34
2013/Q4	Caution (주의)	0.276862085	0.0751443	0.647993615	0	0	S1_Accel: 5.52 | S1_Delta: 3.95 | S2_Delta: 4.13
2014/Q1	Caution (주의)	0.058294587	0.851304075	0.090401338	0	0	S1_Accel: -8.51 | S1_Delta: -4.57 | S2_Delta: 5.83
