제도부문코드,계정항목,자산/부채,단위,변환,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4,2025/Q1,2025/Q2,2025/Q3,2025/Q4
합계,(3) 기업어음,자산,십억원,원자료,65916.2,65735.9,65319.3,62398.6,60145.1,57092.8,61907.2,58842.0,62289.5,60334.8,63854.1,65572.3,74331.2,76373.4,76556.0,69580.1,71069.9,76013.5,88964.3,90788.0,100593.1,101607.7,98217.2,100412.2,107834.7,111143.5,116289.8,118425.1,121282.1,124334.5,124292.4,118928.1,123045.7,121649.1,121471.0,125870.3,127994.2,139498.8,144605.6,150936.2,156252.6,144591.5,144799.9,147689.6,156486.7,162106.0,165136.6,174782.4,166160.8,154965.0,162293.9,153231.7,151854.1,150965.1,150889.7,157318.9,156019.3,154197.9,166727.9,170769.5,180222.1,196053.6,,
합계,(3) 기업어음,부채,십억원,원자료,65916.2,65735.9,65319.3,62398.6,60145.1,57092.8,61907.2,58842.0,62289.5,60334.8,63854.1,65572.3,74331.2,76373.4,76556.0,69580.1,71069.9,76013.5,88964.3,90788.0,100593.1,101607.7,98217.2,100412.2,107834.7,111143.5,116289.8,118425.1,121282.1,124334.5,124292.4,118928.1,123045.7,121649.1,121471.0,125870.3,127994.2,139498.8,144605.6,150936.2,156252.6,144591.5,144799.9,147689.6,156486.7,162106.0,165136.6,174782.4,166160.8,154965.0,162293.9,153231.7,151854.1,150965.1,150889.7,157318.9,156019.3,154197.9,166727.9,170769.5,180222.1,196053.6,,
합계,(6) 유동화증권,자산,십억원,원자료,2350.0,2437.0,2492.4,2643.0,2540.8,2621.5,2550.2,2769.8,1950.5,2048.0,2271.6,2404.7,2288.3,2378.6,2749.1,4122.4,4192.2,6002.1,5255.9,7267.7,6906.0,12028.3,15240.4,12588.1,14746.8,12500.5,11389.1,12145.6,12722.8,11948.9,13131.3,12825.9,12607.9,11812.6,11550.0,11050.8,12077.5,10989.1,9563.0,8493.5,7800.8,8706.1,9182.9,10034.2,7876.4,6883.8,6733.6,7226.7,19215.4,20342.7,22454.8,18924.3,20144.1,19756.4,16974.1,17498.5,15929.5,16740.6,18102.6,20841.3,24906.1,26847.8,,
합계,(6) 유동화증권,부채,십억원,원자료,2350.0,2437.0,2492.4,2643.0,2540.8,2621.5,2550.2,2769.8,1950.5,2048.0,2271.6,2404.7,2288.3,2378.6,2749.1,4122.4,4192.2,6002.1,5255.9,7267.7,6906.0,12028.3,15240.4,12588.1,14746.8,12500.5,11389.1,12145.6,12722.8,11948.9,13131.3,12825.9,12607.9,11812.6,11550.0,11050.8,12077.5,10989.1,9563.0,8493.5,7800.8,8706.1,9182.9,10034.2,7876.4,6883.8,6733.6,7226.7,19215.4,20342.7,22454.8,18924.3,20144.1,19756.4,16974.1,17498.5,15929.5,16740.6,18102.6,20841.3,24906.1,26847.8,,
합계,(3) 기업어음,자산,십억원,원자료,5799.9,7292.5,10737.5,13967.7,18241.6,22203.3,23417.7,28285.8,36567.4,41224.2,45119.8,46914.4,53748.5,57020.2,59394.7,56465.6,54903.9,50705.9,46089.3,42965.1,38568.2,32636.5,23652.1,22635.9,23464.0,21853.4,23477.9,22496.7,24784.7,30172.7,29772.1,30473.8,30327.0,26746.8,26320.8,33023.0,33554.3,33795.6,34811.6,32075.1,33494.6,29450.7,32841.9,36271.3,38154.8,49217.8,53720.8,60889.7,60183.2,74467.8,76177.0,74542.8,66737.0,64003.2,59752.9,56388.2,50721.8,47049.3,47374.3,44853.5,35730.8,32510.6,,
합계,(3) 기업어음,부채,십억원,원자료,5799.9,7292.5,10737.5,13967.7,18241.6,22203.3,23417.7,28285.8,36567.4,41224.2,45119.8,46914.4,53748.5,57020.2,59394.7,56465.6,54903.9,50705.9,46089.3,42965.1,38568.2,32636.5,23652.1,22635.9,23464.0,21853.4,23477.9,22496.7,24784.7,30172.7,29772.1,30473.8,30327.0,26746.8,26320.8,33023.0,33554.3,33795.6,34811.6,32075.1,33494.6,29450.7,32841.9,36271.3,38154.8,49217.8,53720.8,60889.7,60183.2,74467.8,76177.0,74542.8,66737.0,64003.2,59752.9,56388.2,50721.8,47049.3,47374.3,44853.5,35730.8,32510.6,,
합계,(6) 유동화증권,자산,십억원,원자료,54130.3,56134.6,57413.2,60888.4,58543.9,60402.0,58758.7,63378.0,65311.6,68580.2,76059.6,80499.8,85433.9,95231.1,97295.9,94123.3,96198.7,92699.1,93744.4,100811.2,108583.5,134347.8,144094.9,146565.9,149135.6,150092.5,152792.0,154452.1,159816.7,163346.1,165803.2,168626.0,171010.1,170468.1,168482.2,179239.0,183201.3,188463.7,185603.7,192259.8,202725.4,209489.7,215830.8,221719.8,217769.3,223934.6,225633.0,219771.9,211985.4,210818.8,204313.3,205963.1,207897.5,208740.5,213792.7,220087.9,215536.4,215367.0,218884.2,222966.8,222904.3,220372.0,,
합계,(6) 유동화증권,부채,십억원,원자료,54130.3,56134.6,57413.2,60888.4,58543.9,60402.0,58758.7,63378.0,65311.6,68580.2,76059.6,80499.8,85433.9,95231.1,97295.9,94123.3,96198.7,92699.1,93744.4,100811.2,108583.5,134347.8,144094.9,146565.9,149135.6,150092.5,152792.0,154452.1,159816.7,163346.1,165803.2,168626.0,171010.1,170468.1,168482.2,179239.0,183201.3,188463.7,185603.7,192259.8,202725.4,209489.7,215830.8,221719.8,217769.3,223934.6,225633.0,219771.9,211985.4,210818.8,204313.3,205963.1,207897.5,208740.5,213792.7,220087.9,215536.4,215367.0,218884.2,222966.8,222904.3,220372.0,,
금융법인,(3) 기업어음,자산,십억원,원자료,56624.4,55922.3,56278.7,55569.6,55502.3,53487.4,55957.0,54379.6,53454.2,53939.1,61493.1,64140.2,68114.9,64837.2,65138.4,59939.4,62856.7,66080.6,74483.2,77344.8,86652.2,89894.0,85136.2,85348.0,90021.4,90949.6,97757.0,97461.3,101357.3,102833.0,102913.7,97251.6,96553.0,98517.3,98513.8,102325.2,106368.5,113455.6,117106.2,125313.7,133395.7,127170.1,124651.6,129944.1,137531.1,140923.8,143896.9,154380.7,149497.1,143354.2,151962.0,142932.0,137964.9,141458.6,138982.6,148149.7,146561.2,146840.0,159954.3,165430.9,172197.1,190068.7,,
금융법인,(3) 기업어음,부채,십억원,원자료,43466.2,44017.6,43788.6,45813.3,45025.1,44679.8,44129.5,43085.6,43595.0,41721.6,43915.5,46882.3,51925.5,49937.5,49149.6,49027.6,48738.4,54746.9,67754.6,73646.4,81452.0,84240.6,81558.3,86071.7,93433.0,97938.9,103723.6,104991.4,107320.2,111562.9,109533.3,105790.6,106153.9,104682.5,103325.8,109612.1,109724.8,122617.7,127808.0,137715.9,138653.6,129288.4,129875.0,135418.9,141631.6,145034.4,147603.8,158134.3,146912.5,135947.9,141462.9,124607.7,115514.1,118195.4,113435.1,121911.0,117900.0,117262.9,129689.5,134059.9,139260.4,155817.8,,
