플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
69344,넥스트비전제오차,KRZF0029H1G2,넥스트비전제오차 20260227-122-1,Y,20260227,20260629,PF대출채권,KRW,,5000000000,5000000000,109,A1,A1,,,(주)수서3블럭에스피씨,외부 신용보강,금융기관,메리츠증권
69344,넥스트비전제오차,KRZF0029H2G2,넥스트비전제오차 20260227-122-2,Y,20260227,20260629,PF대출채권,KRW,,2390000000,2390000000,109,A1,A1,,,(주)수서3블럭에스피씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WAG2,노바에이비일차 20260227-185-10,Y,20260227,20260831,PF대출채권,KRW,,5000000000,5000000000,172,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WDG2,노바에이비일차 20260227-185-13,Y,20260227,20260831,PF대출채권,KRW,,5000000000,5000000000,172,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WEG2,노바에이비일차 20260227-185-14,Y,20260227,20260831,PF대출채권,KRW,,5000000000,5000000000,172,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WFG2,노바에이비일차 20260227-185-15,Y,20260227,20260831,PF대출채권,KRW,,5000000000,5000000000,172,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W1G2,노바에이비일차 20260227-91-1,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WBG2,노바에이비일차 20260227-91-11,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064WCG2,노바에이비일차 20260227-91-12,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W2G2,노바에이비일차 20260227-91-2,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W3G2,노바에이비일차 20260227-91-3,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W4G2,노바에이비일차 20260227-91-4,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W5G2,노바에이비일차 20260227-91-5,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W6G2,노바에이비일차 20260227-91-6,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W7G2,노바에이비일차 20260227-91-7,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W8G2,노바에이비일차 20260227-91-8,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
70206,노바에이비일차,KRZF0064W9G2,노바에이비일차 20260227-91-9,Y,20260227,20260529,PF대출채권,KRW,,5000000000,5000000000,78,A1,,A1,,주식회사 비에스디앤씨,외부 신용보강,금융기관,메리츠증권
72760,뉴스타시네제일차,KRZF0138W1G2,뉴스타시네제일차 20260227-28-1,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZF0138W2G2,뉴스타시네제일차 20260227-28-2,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZF0138W3G2,뉴스타시네제일차 20260227-28-3,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZF0138W4G2,뉴스타시네제일차 20260227-28-4,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZF0138W5G2,뉴스타시네제일차 20260227-28-5,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZF0138W6G2,뉴스타시네제일차 20260227-28-6,Y,20260227,20260327,PF대출채권,KRW,,5000000000,5000000000,15,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
73894,뉴스타엠지디제이차,KRZF0021G0GE,뉴스타엠지디제이차 20260227-181-33,N,20260227,20260827,대출채권,KRW,,1000000000,1000000000,168,A1,,A1,,인창개발(주),외부 신용보강,일반기업,현대건설
