플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
70655,고메하나제일차,KRZF0078K1G3,고메하나제일차 20260327-91-1,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078KAG3,고메하나제일차 20260327-91-10,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078KBG3,고메하나제일차 20260327-91-11,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078KCG3,고메하나제일차 20260327-91-12,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078KDG3,고메하나제일차 20260327-91-13,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K2G3,고메하나제일차 20260327-91-2,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K3G3,고메하나제일차 20260327-91-3,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K4G3,고메하나제일차 20260327-91-4,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K5G3,고메하나제일차 20260327-91-5,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K6G3,고메하나제일차 20260327-91-6,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K7G3,고메하나제일차 20260327-91-7,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K8G3,고메하나제일차 20260327-91-8,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
70655,고메하나제일차,KRZF0078K9G3,고메하나제일차 20260327-91-9,N,20260327,20260626,대출채권,KRW,,5000000000,5000000000,65,A1,,A1,,신한은행,외부 신용보강,금융기관,하나은행
67300,뉴스타하트제일차,KRZFA92121G3,뉴스타하트제일차 20260327-94-1,N,20260327,20260629,매출채권,KRW,,5000000000,5000000000,68,,A1,A1,,심텍,외부 신용보강,일반기업,심텍
67300,뉴스타하트제일차,KRZFA92122G3,뉴스타하트제일차 20260327-94-2,N,20260327,20260629,매출채권,KRW,,5000000000,5000000000,68,,A1,A1,,심텍,외부 신용보강,일반기업,심텍
65751,리치게이트남서울,KRZFA84321G3,리치게이트남서울 20260327-31-1,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84322G3,리치게이트남서울 20260327-31-2,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84323G3,리치게이트남서울 20260327-31-3,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84324G3,리치게이트남서울 20260327-31-4,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84325G3,리치게이트남서울 20260327-31-5,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84326G3,리치게이트남서울 20260327-31-6,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84327G3,리치게이트남서울 20260327-31-7,Y,20260327,20260427,PF대출채권,KRW,,5000000000,5000000000,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
65751,리치게이트남서울,KRZFA84328G3,리치게이트남서울 20260327-31-8,Y,20260327,20260427,PF대출채권,KRW,,4730954236,4730954236,5,A1,,A1,,남서울종합시장 시장정비사업조합,외부 신용보강,금융기관,신한은행
