플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
74466,국민넘버원제사차,KRZFA5161AGF,국민넘버원제사차 20260331-267-43,N,20260331,20261223,정기예금,KRW,,220000000,220000000,245,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA51611G3,국민넘버원제사차 20260331-85-1,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161AG3,국민넘버원제사차 20260331-85-10,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161BG3,국민넘버원제사차 20260331-85-11,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161CG3,국민넘버원제사차 20260331-85-12,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161DG3,국민넘버원제사차 20260331-85-13,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161EG3,국민넘버원제사차 20260331-85-14,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161FG3,국민넘버원제사차 20260331-85-15,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161GG3,국민넘버원제사차 20260331-85-16,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
74466,국민넘버원제사차,KRZFA5161HG3,국민넘버원제사차 20260331-85-17,N,20260331,20260624,정기예금,KRW,,5000000000,5000000000,63,A1,A1,A1,,국민은행,자체 신용보강,자체 신용보강,국민은행
