플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
73156,구로공간제이차,KRZS0139H002,구로공간제이차 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,2650000000,2650000000,0,N,A1,A1,,,퍼시픽디구로제62호일반사모부동산모투자회사,외부 신용보강,금융기관,신한투자증권(주)
72289,글로벌랜드마크제일차,KRZS41069049,글로벌랜드마크제일차 20260123-90-1(단),N,20260123,20260423,수익증권,KRW,,36700000000,36700000000,42,N,A2-,,A2-,,비엔케이자산운용,외부 신용보강,금융기관,다올투자증권(주)
72289,글로벌랜드마크제일차,KRZS41069050,글로벌랜드마크제일차 20260123-90-2(단),N,20260123,20260423,수익증권,KRW,,500000000,500000000,42,N,A2-,,A2-,,비엔케이자산운용,외부 신용보강,금융기관,다올투자증권(주)
72262,글로에스과천,KRZS0100H004,글로에스과천 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,400000000,400000000,0,N,A1,,A1,,(주)과천제1프라자,외부 신용보강,금융기관,삼성증권
73522,다올라이트블루제이차,KRZS42065026,다올라이트블루제이차 20260123-90-2(단),Y,20260123,20260423,PF대출채권,KRW,,4000000000,4000000000,42,N,A2-,,A2-,,(주)에이치다,외부 신용보강,금융기관,다올투자증권(주)
73522,다올라이트블루제이차,KRZS42065027,다올라이트블루제이차 20260123-90-3(단),Y,20260123,20260423,PF대출채권,KRW,,2100000000,2100000000,42,N,A2-,,A2-,,(주)에이치다,외부 신용보강,금융기관,다올투자증권(주)
73504,디비엠비피제사차,KRZS0058Z014,디비엠비피제사차 20260123-90-1(단),N,20260123,20260423,매출채권,KRW,,9600000000,9600000000,42,N,,A2+,A2+,,녹십자,자체 신용보강,자체 신용보강,녹십자
73473,디아이에프청라,KRZS48933007,디아이에프청라 20260123-90-1(단),N,20260123,20260423,대출채권,KRW,,24200000000,24200000000,42,N,A2-,,A2-,,아라베스크제이차(주),자체 신용보강,자체 신용보강,케이씨씨건설
71571,디에스에이아이제일차,KRZS31460079,디에스에이아이제일차 20260123-45-1(단),N,20260123,20260309,수익증권,KRW,,2300000000,2300000000,0,N,A1,A1,,,마스턴투자운용,외부 신용보강,금융기관,대신증권
73486,디이에프베타제일차,KRZS0022L035,디이에프베타제일차 20260123-90-9(단),N,20260123,20260423,매출채권,KRW,,10800000000,10800000000,42,N,A2+,A2+,,,삼척블루파워,자체 신용보강,자체 신용보강,삼척블루파워
73511,라트라비아타제일차,KRZS43254015,라트라비아타제일차 20260123-90-1(단),N,20260123,20260423,하이브리드증권,KRW,,51100000000,51100000000,42,N,A1,,A1,,코리안리재보험,차환발행위험(유동성 공여형 매입약정),금융기관,아이비케이투자증권
73173,랜드마크송파비즈제일차,KRZS47565002,랜드마크송파비즈제일차 20260123-60-1(단),Y,20260123,20260324,PF대출채권,KRW,,6400000000,6400000000,12,N,A1,A1,,,송파비즈클러스터피에프브이(주),외부 신용보강,금융기관,NH투자증권
73519,마이트창원상남동제이차,KRZS0116Y003,마이트창원상남동제이차 20260123-59-1(단),Y,20260123,20260323,PF대출채권,KRW,,21000000000,21000000000,11,N,,A1,,,엠아이케이개발 주식회사,외부 신용보강,일반기업,현대엔지니어링
71053,모니모방배제일차,KRZS0089P008,모니모방배제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,48100000000,48100000000,42,N,A1,A1,,,방배역세권개발피에프브이(주),외부 신용보강,금융기관,삼성증권
73170,베스타제일차,KRZS47642002,베스타제일차 20260123-60-1(단),Y,20260123,20260324,PF대출채권,KRW,,6400000000,6400000000,12,N,A1,A1,,,송파비즈클러스터피에프브이(주),외부 신용보강,금융기관,한국투자증권
59095,본제일차,KRZS44146029,본제일차 20260123-33-1(단),N,20260123,20260225,수익증권,KRW,,4600000000,4600000000,0,N,A1,A1,,,현대자산운용,외부 신용보강,금융기관,한국투자증권
59095,본제일차,KRZS44146030,본제일차 20260123-33-2(단),N,20260123,20260225,수익증권,KRW,,35000000000,35000000000,0,N,A1,A1,,,현대자산운용,외부 신용보강,금융기관,한국투자증권
71555,비디에이치제일차,KRZS0100V013,비디에이치제일차 20260123-28-1(단),Y,20260123,20260220,PF대출채권,KRW,,20000000000,20000000000,0,N,A1,A1,,,(주)신영문봉피에프브이,외부 신용보강,금융기관,하나증권(주)
73353,비에스디제삼차,KRZS0149R001,비에스디제삼차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,60000000000,60000000000,42,N,,A1,A1,,화우디앤씨(주),외부 신용보강,금융기관,메리츠증권
70556,비욘드부대제일차,KRZS39320064,비욘드부대제일차 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,49000000000,49000000000,0,N,A1,,A1,,(주)씨더블유제이,외부 신용보강,금융기관,한국투자증권
70556,비욘드부대제일차,KRZS39320065,비욘드부대제일차 20260123-31-2(단),Y,20260123,20260223,PF대출채권,KRW,,50000000000,50000000000,0,N,A1,,A1,,(주)씨더블유제이,외부 신용보강,금융기관,한국투자증권
73497,비케이프로제구차,KRZS45714254,비케이프로제구차 20260123-90-6(단),N,20260123,20260423,매출채권,KRW,,16300000000,16300000000,42,N,,,A1,A1,SK에너지,자체 신용보강,자체 신용보강,SK에너지
71903,성수클라우드,KRZS47824013,성수클라우드 20260123-18-1(단),Y,20260123,20260210,PF대출채권,KRW,,13200000000,13200000000,0,N,,A1,A1,,디디아이에스에프피에프브이(주),외부 신용보강,금융기관,현대차증권
71569,센텀하이브제일차,KRZS0100P006,센텀하이브제일차 20260123-13-1(단),N,20260123,20260205,수익증권,KRW,,9500000000,9500000000,0,N,,A1,A1,,주식회사 엘제이프로젝트피에프브이,외부 신용보강,금융기관,한국투자증권
73352,아이스구구이,KRZS0149P001,아이스구구이 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,10000000000,10000000000,42,N,,,A1,A1,화우디앤씨(주),외부 신용보강,금융기관,하나증권(주)
73351,아이스구구일,KRZS0149N001,아이스구구일 20260123-3-1(단),Y,20260123,20260126,PF대출채권,KRW,,27500000000,27500000000,0,N,,,A1,A1,화우디앤씨(주),외부 신용보강,금융기관,하나증권(주)
66444,에스디제삼차,KRZS48710008,에스디제삼차 20260123-90-1(단),N,20260123,20260423,회사채,KRW,,50900000000,50900000000,42,N,A1,A1,,,이지스자산운용,외부 신용보강,금융기관,대신증권
70131,에스에프원유천,KRZS40754027,에스에프원유천 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,1761000000,1761000000,0,N,A1,A1,,,상상포레스트(주),외부 신용보강,금융기관,현대차증권
72263,에스엘티과천제일차,KRZS0123T003,에스엘티과천제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,16000000000,16000000000,42,N,A1,A1,,,(주)과천제1프라자,외부 신용보강,금융기관,메리츠증권
73514,에스제이강북제삼차,KRZS34677053,에스제이강북제삼차 20260123-32-1(단),Y,20260123,20260224,PF대출채권,KRW,,1600000000,1600000000,0,N,A1,A1,,,시에스네트웍스,외부 신용보강,금융기관,디비증권(주)
73482,에스제이황금동제이차,KRZS38867026,에스제이황금동제이차 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,5000000000,5000000000,0,N,A1,,A1,,(주)대한홀딩스,외부 신용보강,금융기관,대신증권
73516,에스피아이케이제일차,KRZS0159K001,에스피아이케이제일차 20260123-20-1(단),N,20260123,20260212,회사채,KRW,,5000000000,5000000000,0,N,A1,,A1,,와이앤케이파트너스대부(주),외부 신용보강,금융기관,디비증권(주)
65481,에이블하이포지션제일차,KRZS48023027,에이블하이포지션제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,30000000000,30000000000,42,N,A1,A1,,,장위10구역주택재개발정비사업조합,외부 신용보강,금융기관,케이비증권
65481,에이블하이포지션제일차,KRZS48023028,에이블하이포지션제일차 20260123-90-2(단),Y,20260123,20260423,PF대출채권,KRW,,49600000000,49600000000,42,N,A1,A1,,,장위10구역주택재개발정비사업조합,외부 신용보강,금융기관,케이비증권
65481,에이블하이포지션제일차,KRZS48023029,에이블하이포지션제일차 20260123-90-3(단),Y,20260123,20260423,PF대출채권,KRW,,16100000000,16100000000,42,N,A1,A1,,,장위10구역주택재개발정비사업조합,외부 신용보강,금융기관,케이비증권
73500,에코상무제오차,KRZS0026V004,에코상무제오차 20260123-62-1(단),Y,20260123,20260326,PF대출채권,KRW,,5500000000,5500000000,14,N,A2-,A2-,,,코크렙상무(주),외부 신용보강,일반기업,케이씨씨건설
73498,에프엔프로젝트제삼차,KRZS0156W001,에프엔프로젝트제삼차 20260123-18-1(단),Y,20260123,20260210,PF대출채권,KRW,,114300000000,114300000000,0,N,,A1,A1,,한남2재정비촉진구역주택재개발정비사업조합,외부 신용보강,금융기관,삼성증권
73147,엔에이치도안제이차,KRZS0150Y003,엔에이치도안제이차 20260123-31-2(단),Y,20260123,20260223,PF대출채권,KRW,,80000000000,80000000000,0,N,A1,A1,,,(주)아이에스파트너스,외부 신용보강,금융기관,NH투자증권
10722,엘오토월드제삼차,KRZS37299022,엘오토월드제삼차 20260123-90-1(단),N,20260123,20260423,매출채권,KRW,,100000000000,100000000000,42,N,A2+,,A2+,,롯데렌탈,차환발행위험(유동성 공여형 매입약정),일반기업,롯데렌탈
69701,엠문현제일차,KRZS0039T001,엠문현제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,18000000000,18000000000,42,N,A1,A1,,,(주)북항퀸즈타운더블유피에프브이,외부 신용보강,금융기관,메리츠증권
71874,윈디가산제일차,KRZS0105F009,윈디가산제일차 20260123-7-1(단),N,20260123,20260130,대출채권,KRW,,28500000000,28500000000,0,N,A1,A1,,,(주)더베스트포유,외부 신용보강,금융기관,현대차증권
68625,을지75클라우드,KRZS0011E013,을지75클라우드 20260123-90-1(단),N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,N,,A1,A1,,(주)이스턴투자개발,외부 신용보강,금융기관,현대차증권
69730,제이온오룡,KRZS40556007,제이온오룡 20260123-3-1(단),N,20260123,20260126,대출채권,KRW,,15300000000,15300000000,0,N,,A1,A1,,이랜드월드,차환발행위험(유동성 공여형 매입약정),금융기관,유안타증권
73472,제일티비씨제이차,KRZS47780020,제일티비씨제이차 20260123-90-2(단),N,20260123,20260423,대출채권,KRW,,20000000000,20000000000,42,N,,A3,A3,,제이티비씨,자체 신용보강,자체 신용보강,제이티비씨
51624,준드래곤페어니스2호,KRZS38547022,준드래곤페어니스2호 20260123-31-1(단),Y,20260123,20260223,PF대출채권,KRW,,30000000000,30000000000,0,N,A1,A1,,,창조이노베이션,외부 신용보강,금융기관,하나증권(주)
73509,지원제일차,KRZS26158031,지원제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,16000000000,16000000000,42,N,A2,A2,,,(주)자광홀딩스,외부 신용보강,일반기업,롯데건설
71432,카모마일제삼차,KRZS0099B011,카모마일제삼차 20260123-14-1(단),N,20260123,20260206,대출채권,KRW,,6700000000,6700000000,0,N,,A1,A1,,카모마일제이차(주),외부 신용보강,금융기관,(주)아이엠증권
71081,케이성정제일차,KRZS42239045,케이성정제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,1000000000,1000000000,42,N,A1,A1,,,(주)성산개발,외부 신용보강,금융기관,교보증권
71081,케이성정제일차,KRZS42239046,케이성정제일차 20260123-90-2(단),Y,20260123,20260423,PF대출채권,KRW,,23000000000,23000000000,42,N,A1,A1,,,(주)성산개발,외부 신용보강,금융기관,교보증권
71081,케이성정제일차,KRZS42239047,케이성정제일차 20260123-90-3(단),Y,20260123,20260423,PF대출채권,KRW,,10500000000,10500000000,42,N,A1,A1,,,(주)성산개발,외부 신용보강,금융기관,교보증권
70568,코어웨스트,KRZS0078C007,코어웨스트 20260123-32-1(단),N,20260123,20260224,대출채권,KRW,,20000000000,20000000000,0,N,,A1,A1,,이든서대문전문투자형사모부동산투자회사,외부 신용보강,금융기관,한화투자증권
73238,키스아이비제십육차,KRZS27908051,키스아이비제십육차 20260123-90-1(단),N,20260123,20260423,주식,KRW,,121000000000,121000000000,42,N,,A1,A1,,에스케이실트론,외부 신용보강,금융기관,한국투자증권
61659,투란도트제일차,KRZS42956026,투란도트제일차 20260123-90-1(단),N,20260123,20260423,수익증권,KRW,,20900000000,20900000000,42,N,A1,,A1,,현대인베스트먼트자산운용,외부 신용보강,금융기관,아이비케이투자증권
61659,투란도트제일차,KRZS42956026,투란도트제일차 20260123-90-1(단),N,20260123,20260423,수익증권,KRW,,20900000000,20900000000,42,N,A1,,A1,,마스턴투자운용,외부 신용보강,금융기관,아이비케이투자증권
61659,투란도트제일차,KRZS42956027,투란도트제일차 20260123-90-2(단),N,20260123,20260423,수익증권,KRW,,40000000000,40000000000,42,N,A1,,A1,,현대인베스트먼트자산운용,외부 신용보강,금융기관,아이비케이투자증권
61659,투란도트제일차,KRZS42956027,투란도트제일차 20260123-90-2(단),N,20260123,20260423,수익증권,KRW,,40000000000,40000000000,42,N,A1,,A1,,마스턴투자운용,외부 신용보강,금융기관,아이비케이투자증권
73510,파인셀리,KRZS48934005,파인셀리 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,72000000000,72000000000,42,N,A1,A1,,,(주)아발론,외부 신용보강,일반기업,현대건설
73510,파인셀리,KRZS48934005,파인셀리 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,72000000000,72000000000,42,N,A1,A1,,,(주)아발론,자체 신용보강,자체 신용보강,세금환급(국세및지방세등)
71080,퍼플팁제일차,KRZS30274025,퍼플팁제일차 20260123-90-1(단),N,20260123,20260423,수익증권,KRW,,113300000000,113300000000,42,N,A1,,A1,,엘비자산운용,외부 신용보강,금융기관,한화투자증권
57468,하나장포제일차,KRZS42619016,하나장포제일차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,23000000000,23000000000,42,N,A1,A1,,,(주)금재디앤씨,외부 신용보강,금융기관,하나증권(주)
73512,하이쌍령제삼차,KRZS0088P007,하이쌍령제삼차 20260123-90-1(단),Y,20260123,20260423,PF대출채권,KRW,,10000000000,10000000000,42,N,,,A2,,(주)쌍령파크개발,외부 신용보강,일반기업,롯데건설
73512,하이쌍령제삼차,KRZS0088P008,하이쌍령제삼차 20260123-90-2(단),Y,20260123,20260423,PF대출채권,KRW,,6600000000,6600000000,42,N,,,A2,,(주)쌍령파크개발,외부 신용보강,일반기업,롯데건설
73512,하이쌍령제삼차,KRZS0088P009,하이쌍령제삼차 20260123-90-3(단),Y,20260123,20260423,PF대출채권,KRW,,15400000000,15400000000,42,N,,,A2,,(주)쌍령파크개발,외부 신용보강,일반기업,롯데건설
73515,해피니스제십일차,KRZS0014C009,해피니스제십일차 20260123-31-1(단),,20260123,20260223,,KRW,,60000000000,60000000000,0,N,,,A1,,,,,
73513,허삼퇴계원제일차,KRZS0150R001,허삼퇴계원제일차 20260123-60-1(단),Y,20260123,20260324,PF대출채권,KRW,,20000000000,20000000000,12,N,,A1,,,(주)퇴계원엘홀딩스,외부 신용보강,금융기관,삼성증권
73499,광주첨단영산강지산제일차,KRZS39513028,광주첨단영산강지산제일차 20260122-90-1(단),Y,20260122,20260422,PF대출채권,KRW,,12200000000,12200000000,41,N,A1,,A1,,(주)이안산업개발,외부 신용보강,금융기관,한화투자증권
72902,글로에스달서,KRZS0133W002,글로에스달서 20260122-47-1(단),Y,20260122,20260310,PF대출채권,KRW,,3600000000,3600000000,0,N,A1,A1,,,알파도시에이치앤지(주),외부 신용보강,금융기관,삼성증권
71849,넷패브릭순천제일차,KRZS0112G006,넷패브릭순천제일차 20260122-32-1(단),Y,20260122,20260223,PF대출채권,KRW,,49000000000,49000000000,0,N,A1,,A1,,선월하이파크밸리(주),외부 신용보강,금융기관,케이비증권
73135,뉴스타넥스트제이차,KRZS0143K002,뉴스타넥스트제이차 20260122-32-1(단),Y,20260122,20260223,PF대출채권,KRW,,25000000000,25000000000,0,N,A1,A1,,,넥스트브이시티피에프브이(주),외부 신용보강,금융기관,케이비증권
73133,뉴스타넥스트제일차,KRZS0143J003,뉴스타넥스트제일차 20260122-32-1(단),Y,20260122,20260223,PF대출채권,KRW,,20000000000,20000000000,0,N,A1,A1,,,넥스트브이시티피에프브이(주),외부 신용보강,금융기관,케이비증권
73133,뉴스타넥스트제일차,KRZS0143J004,뉴스타넥스트제일차 20260122-32-2(단),Y,20260122,20260223,PF대출채권,KRW,,26600000000,26600000000,0,N,A1,A1,,,넥스트브이시티피에프브이(주),외부 신용보강,금융기관,케이비증권
73485,뉴스타빅마운틴제일차,KRZS0152D001,뉴스타빅마운틴제일차 20260122-90-1(단),,20260122,20260422,,KRW,,50000000000,50000000000,41,N,,A1,A1,,,,,
69695,더블유엔비제일차,KRZS0043V020,더블유엔비제일차 20260122-32-1(단),Y,20260122,20260223,PF대출채권,KRW,,26200000000,26200000000,0,N,A1,,A1,,세종앤파트너스7(주),외부 신용보강,금융기관,한국투자증권
69695,더블유엔비제일차,KRZS0043V020,더블유엔비제일차 20260122-32-1(단),Y,20260122,20260223,PF대출채권,KRW,,26200000000,26200000000,0,N,A1,,A1,,가야도시개발(주),외부 신용보강,금융기관,한국투자증권
69695,더블유엔비제일차,KRZS0043V021,더블유엔비제일차 20260122-32-2(단),Y,20260122,20260223,PF대출채권,KRW,,26100000000,26100000000,0,N,A1,,A1,,세종앤파트너스7(주),외부 신용보강,금융기관,한국투자증권
