플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
69116,그라나다제일차,KRZS0020Y007,그라나다제일차 20260306-32-1(단),Y,20260306,20260407,PF대출채권,KRW,,29000000000,29000000000,0,N,A1,A1,,,자온개발 주식회사,외부 신용보강,금융기관,키움증권
71654,그레이트감삼제일차,KRZS0101G003,그레이트감삼제일차 20260306-91-1(단),Y,20260306,20260605,PF대출채권,KRW,,44500000000,44500000000,44,N,A1,A1,,,(주)에이치케이감삼,외부 신용보강,금융기관,메리츠증권
69113,글로리예천제이차,KRZS0022D010,글로리예천제이차 20260306-17-1(단),Y,20260306,20260323,PF대출채권,KRW,,2000000000,2000000000,0,N,A1,A1,,,자온개발 주식회사,외부 신용보강,금융기관,한국투자증권
69110,글로리예천제일차,KRZS0022C010,글로리예천제일차 20260306-17-1(단),Y,20260306,20260323,PF대출채권,KRW,,14000000000,14000000000,0,N,A1,A1,,,자온개발 주식회사,외부 신용보강,금융기관,한국투자증권
72755,기은센상동제삼차,KRZS0135G005,기은센상동제삼차 20260306-87-1(단),Y,20260306,20260601,PF대출채권,KRW,,40000000000,40000000000,40,N,A1,,A1,,주식회사 미래도시,외부 신용보강,금융기관,키움증권
72755,기은센상동제삼차,KRZS0135G006,기은센상동제삼차 20260306-87-2(단),Y,20260306,20260601,PF대출채권,KRW,,50000000000,50000000000,40,N,A1,,A1,,주식회사 미래도시,외부 신용보강,금융기관,키움증권
74042,농협사랑제3차,KRZS44908001,농협사랑제3차 20260306-4-1(단),N,20260306,20260310,정기예금,KRW,,49100000000,49100000000,0,N,A1,A1,,,농협은행,자체 신용보강,자체 신용보강,농협은행
74026,뉴스타시너지제일차,KRZS0168E001,뉴스타시너지제일차 20260306-53-1(단),N,20260306,20260428,대출채권,KRW,,39000000000,39000000000,6,N,A1,A1,,,엘피스제일차(주),외부 신용보강,금융기관,케이비증권
74039,뉴스타에이케이제일차,KRZS35054042,뉴스타에이케이제일차 20260306-61-3(단),N,20260306,20260506,대출채권,KRW,,30000000000,30000000000,14,N,A2+,,A2+,,하나은행,외부 신용보강,일반기업,효성중공업
74039,뉴스타에이케이제일차,KRZS35054040,뉴스타에이케이제일차 20260306-92-1(단),N,20260306,20260606,대출채권,KRW,,10000000000,10000000000,45,N,A2+,,A2+,,하나은행,외부 신용보강,일반기업,효성중공업
74039,뉴스타에이케이제일차,KRZS35054041,뉴스타에이케이제일차 20260306-92-2(단),N,20260306,20260606,대출채권,KRW,,25700000000,25700000000,45,N,A2+,,A2+,,하나은행,외부 신용보강,일반기업,효성중공업
