플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
74265,글로리부성제일차,KRZS0160M003,글로리부성제일차 20260331-30-3(단),,20260331,20260430,,KRW,,11000000000,11000000000,8,N,,A1,A1,,,,,
71989,기은센모곡제일차,KRZS44230024,기은센모곡제일차 20260331-30-1(단),Y,20260331,20260430,PF대출채권,KRW,,9000000000,9000000000,8,N,A1,A1,,,(주)에스피씨재현,외부 신용보강,금융기관,아이비케이투자증권
73037,남대문한투제이차,KRZS0095Z003,남대문한투제이차 20260331-66-2(단),N,20260331,20260605,대출채권,KRW,,50900000000,50900000000,44,N,,A1,A1,,남대문한투제일차(주),외부 신용보강,금융기관,한국투자증권
71079,노원제일차,KRZS0088X017,노원제일차 20260331-29-3(단),Y,20260331,20260429,PF대출채권,KRW,,112500000000,112500000000,7,N,A2+,A2+,,,노원2동 주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,NH투자증권
71079,노원제일차,KRZS0088X017,노원제일차 20260331-29-3(단),Y,20260331,20260429,PF대출채권,KRW,,112500000000,112500000000,7,N,A2+,A2+,,,노원2동 주택재개발정비사업조합,외부 신용보강,일반기업,(주)포스코이앤씨
65508,뉴스타김포제사차,KRZS41818046,뉴스타김포제사차 20260331-30-1(단),Y,20260331,20260430,PF대출채권,KRW,,7000000000,7000000000,8,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZS0138W009,뉴스타시네제일차 20260331-10-3(단),Y,20260331,20260410,PF대출채권,KRW,,34420000000,34420000000,0,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
74171,뉴에이지제일차,KRZS0024Y006,뉴에이지제일차 20260331-30-1(단),N,20260331,20260430,대출채권,KRW,,12000000000,12000000000,8,N,A2+,,A2+,,(주)와이제이코퍼레이션,외부 신용보강,금융기관,유진투자증권
73564,더블유디디비제이차,KRZS45681008,더블유디디비제이차 20260331-10-3(단),N,20260331,20260410,대출채권,KRW,,20000000000,20000000000,0,N,A1,,A1,,케이디비인베스트먼트글로벌헬스케어제일호(주),외부 신용보강,금융기관,디비증권(주)
73694,더프로즌제일차,KRZS0154Y005,더프로즌제일차 20260331-6-3(단),Y,20260331,20260406,PF대출채권,KRW,,6800000000,6800000000,0,N,A1,,A1,,(주)정원주택개발,외부 신용보강,금융기관,현대차증권
72767,디벨롭지아이오,KRZS0139S005,디벨롭지아이오 20260331-21-2(단),Y,20260331,20260421,PF대출채권,KRW,,10000000000,10000000000,0,N,A1,,A1,,주식회사 중앙홀딩스,외부 신용보강,금융기관,신영증권
74195,디에스유니버스업성,KRZS0171Z002,디에스유니버스업성 20260331-9-2(단),Y,20260331,20260409,PF대출채권,KRW,,48000000000,48000000000,0,N,A1,,A1,,디에스디삼호,외부 신용보강,금융기관,대신증권
74195,디에스유니버스업성,KRZS0171Z003,디에스유니버스업성 20260331-9-3(단),Y,20260331,20260409,PF대출채권,KRW,,80000000000,80000000000,0,N,A1,,A1,,디에스디삼호,외부 신용보강,금융기관,대신증권
67757,라이즈실버,KRZS49783009,라이즈실버 20260331-10-1(단),Y,20260331,20260410,PF대출채권,KRW,,82000000000,82000000000,0,N,A1,A1,,,문현마루지역주택조합,외부 신용보강,금융기관,메리츠증권
74447,라이트퍼플제일차,KRZS0058F001,라이트퍼플제일차 20260331-27-1(단),,20260331,20260427,,KRW,,250000000000,250000000000,5,N,A1,,A1,,,,,
