업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,657.0,40000.0,,,,,,,657,40000
제조업,1336.0,85320.0,409.0,19125.0,,,,,1745,104445
"전기, 가스, 증기 및 공기조절 공급업",1256.0,125230.0,47.0,1950.0,,,,,1303,127180
"수도, 하수 및 폐기물 처리, 원료 재생업",,,12.0,1200.0,,,,,12,1200
건설업,606.0,60500.0,248.0,9850.0,15.0,498.0,,,869,70848
도매 및 소매업,419.0,23900.0,96.0,4040.0,,,,,515,27940
운수 및 창고업,111.0,8915.0,1.0,50.0,,,,,112,8965
숙박 및 음식점업,146.0,7300.0,67.0,3350.0,,,,,213,10650
정보통신업,232.0,13060.0,145.0,8310.0,,,,,377,21370
금융 및 보험업,14588.0,754175.0,1275.0,66216.0,,,,,15863,820391
부동산업,150.0,10455.0,7.0,450.0,,,,,157,10905
"전문, 과학 및 기술 서비스업",26.0,1300.0,56.0,2800.0,,,,,82,4100
"사업시설 관리, 사업 지원 및 임대 서비스업",11.0,530.0,157.0,7950.0,,,,,168,8480
보건업 및 사회복지 서비스업,9.0,308.0,,,,,,,9,308
"예술, 스포츠 및 여가관련 서비스업",30.0,1455.0,29.0,825.0,,,,,59,2280
"협회 및 단체, 수리 및 기타 개인 서비스업",68.0,4655.0,,,,,,,68,4655
기타,35.0,3250.0,,,,,,,35,3250
합계,19680.0,1140353.0,2549.0,126116.0,15.0,498.0,,,22244,1266967
