업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,2.0,200.0,,,,,,,2,200
제조업,12.0,4400.0,70.0,5547.0,,,,,82,9947
"전기, 가스, 증기 및 공기조절 공급업",251.0,91300.0,,,,,,,251,91300
건설업,11.0,2600.0,47.0,2360.0,,,,,58,4960
도매 및 소매업,13.0,5750.0,13.0,750.0,,,,,26,6500
운수 및 창고업,12.0,2350.0,10.0,770.0,,,,,22,3120
정보통신업,3.0,2000.0,18.0,1193.0,,,,,21,3193
금융 및 보험업,424.0,204088.0,494.0,31209.0,,,,,918,235297
부동산업,10.0,2500.0,19.0,4930.0,,,,,29,7430
"사업시설 관리, 사업 지원 및 임대 서비스업",,,35.0,970.0,,,,,35,970
합계,738.0,315188.0,706.0,47729.0,,,,,1444,362917
