연월,YYYYMM,사태명,사태유형,라벨,MSI_precursor,MSI_trend_cp,MSI_trend_abcp,MSI_trend_ab,MSI_trend_total,MSI_trend_norm,MSI_trend_domain,MSI_total_v53,MSI_v53_상태,MSI_total_v54_base,hidden_risk_boost,delta_v53_to_v54,MSI_total_v54,MSI_v54_상태,구조주의플래그,MSI_total_final,MSI_final_상태,MSI_total,MSI_상태,trend_signal,trend_boost,MSI_trend_상태,MSI_demand,MSI_supply,TI_CP_3m,TI_CP_6m,TI_ABCP_3m,TI_ABCP_6m,TI_AB_3m,TI_AB_6m,TALERT_CP,TALERT_ABCP,TALERT_AB,dominant_mkt,trend_status,cp_AAA_z,cp_AA_z,ab_iss_z,ab_AAp_z,ab_A_z,abcp_iss_z,세부라벨
2016.07,201607,-,-,정상,0.4033,,,,0.0,0.0,안정,0.4033,정상,0.3025,0.0,0.0,0.4033,정상,0,0.4033,정상,0.4033,🟢정상,0.0,0.0,안정,0.4033,0.4017,,,,,,,0,0,0,CP,→안정,-4.9846,5.5173,1.6994,-1.851,1.1483,-0.1528,정상
2016.08,201608,-,-,정상,0.3656,,,,0.0,0.0,안정,0.3656,정상,0.2742,0.0,0.0,0.3656,정상,0,0.3656,정상,0.3656,🟢정상,0.0,0.0,안정,0.3178,0.3656,,,,,,,0,0,0,CP,→안정,-2.4014,1.3904,-1.5569,0.9154,3.5411,0.7846,정상
2016.09,201609,-,-,정상,0.5493,,,,0.0,0.0,안정,0.5493,정상,0.412,0.0,0.0,0.5493,정상,0,0.5493,정상,0.5493,🟢정상,0.0,0.0,안정,0.5493,0.544,,,,,,,0,0,0,CP,→안정,0.2226,-1.245,1.1026,0.4439,-0.0323,0.6305,정상
2016.1,201610,-,-,정상,0.6099,,,,0.0,0.0,안정,0.6099,정상,0.4574,0.0,0.0,0.6099,정상,0,0.6099,정상,0.6099,🟢정상,0.0,0.0,안정,0.6099,0.5964,,,,,,,0,0,0,CP,→안정,0.3724,-0.8719,2.4294,1.5966,-0.0167,0.9602,정상
2016.11,201611,-,-,정상,0.4879,,,,0.0,0.0,안정,0.4879,정상,0.3659,0.0,0.0,0.4879,정상,0,0.4879,정상,0.4879,🟢정상,0.0,0.0,안정,0.4879,0.4777,,,,,,,0,0,0,CP,→안정,1.2242,-0.6867,-1.0625,0.9639,2.2348,0.3048,정상
2016.12,201612,-,-,정상,0.5379,,,,0.0,0.0,안정,0.5379,정상,0.4034,0.0,0.0,0.5379,정상,0,0.5379,정상,0.5379,🟢정상,0.0,0.0,안정,0.5037,0.5379,,,,,,,0,0,0,CP,→안정,0.8301,-0.5861,-0.6893,-0.2755,-0.9094,-3.2731,정상
2017.01,201701,-,-,정상,0.4605,,,,0.0,0.0,안정,0.4605,정상,0.3454,0.0,0.0,0.4605,정상,0,0.4605,정상,0.4605,🟢정상,0.0,0.0,안정,0.4516,0.4605,,,,,,,0,0,0,CP,→안정,-4.1902,2.1285,1.0384,0.1803,0.0659,-0.8683,정상
2017.02,201702,-,-,정상,0.4486,0.251,0.3158,0.2188,0.26404,0.2561599999999999,안정,0.4486,정상,0.4005,0.0,0.0,0.4486,정상,0,0.4514,정상,0.4486,🟢정상,0.0701999999999999,0.0028079999999999,트렌드주의,0.3849,0.4486,0.251,,0.3158,,0.2188,,0,0,0,-,→안정,-3.3485,1.4734,-0.5102,1.7108,1.2979,-0.7831,정상
2017.03,201703,-,-,정상,0.4932,0.148,0.5294,0.2187,0.32884,0.51536,약한트렌드이탈,0.4972,정상,0.4987,0.0,0.0015,0.4987,정상,0,0.509,정상,0.4932,🟢정상,0.3942000000000001,0.015768,트렌드주의,0.4576,0.4932,0.148,,0.5294,,0.2187,,0,0,0,ABCP,📈상승경보,-1.6845,0.3333,-0.2749,-0.4985,-1.4887,-1.2311,정상
2017.04,201704,-,-,정상,0.5748,0.1128,0.2964,0.2883,0.25644,0.2257599999999999,안정,0.5748,정상,0.4875,0.0,0.0,0.5748,정상,0,0.5761,정상,0.5748,🟢정상,0.0322,0.001288,트렌드주의,0.5631,0.5748,0.1128,,0.2964,,0.2883,,0,0,0,-,📉하락안정,-0.1604,-0.1064,1.3896,0.5597,-1.2476,-0.1386,정상
