YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201601,,0.0,,973130096639.9275,,2282124799177.829,,3962666417214.7593,,3956010995625.4805,,0.0,
201602,90478050000000.0,81024307309.58739,0.000895513412475041,672924003864.1973,0.007437428236618686,2108623190655.611,0.02330535627873955,3873323461846.1694,0.04280953736122926,3800726189432.433,0.04200716294650949,0.0,0.0
201603,90587350000000.0,475460082571.9741,0.005248636620587468,1920480691921.976,0.02120031871913657,2733324680581.087,0.03017335953177885,3150254752296.1294,0.03477587932858318,5397675345684.829,0.05958531015296097,0.0,0.0
201604,93314850000000.0,284061032225.0612,0.0030441139028253403,1212650154487.201,0.012995253751007485,3027678760085.569,0.03244584072187405,4192125452233.875,0.04492452650605852,6120934106103.293,0.06559442689028909,0.0,0.0
201605,92927750000000.0,284247637309.7324,0.003058802535407695,1484570225081.0237,0.0159755317984243,2639564801462.5103,0.02840448414453713,3728140715924.1714,0.040118702066112344,7822754499313.558,0.08418103848757295,0.0,0.0
201606,95659750000000.0,690117848687.9502,0.00721429701298561,1709992044567.6096,0.0178757737143115,3033210938660.6235,0.031708330187572346,3310974275358.7314,0.03461198963366235,8906657611379.08,0.09310768229458137,0.0,0.0
201607,98811250000000.0,396501337215.31226,0.004012714515961616,810411800742.9592,0.008201614702202018,2184554664130.7925,0.022108359768050628,3390494544132.177,0.03431283931872309,6933236753240.756,0.07016647146191103,0.0,0.0
201608,101511200000000.0,1187547934244.0342,0.011698688757930497,1695997507248.9922,0.01670749146152338,2607099497551.5986,0.025682875363029878,3051161822576.594,0.03005739093397176,7783770666077.778,0.07667893460108617,0.0,0.0
201609,107164200000000.0,481196651528.1987,0.004490274284958957,1378121450209.6243,0.012859905175512198,3345992901730.539,0.031223047451765972,2958292344618.3184,0.027605229588037034,7857005503010.316,0.07331744652608163,0.0,0.0
201610,105597400000000.0,334865429330.1586,0.0031711522189955305,1093184170070.4175,0.010352377710724104,3451997837622.7686,0.032690178334151866,3297795784452.6875,0.031229895664596736,8344027886721.966,0.07901736109716684,0.0,0.0
