YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
201601,,24897924590.577656,,1159482516002.8984,,0.0,,10063753799010.34,,541760396.1838773,,0.0,
201602,3844978000000.0,56903294805.35136,0.014799381116186193,1158800844110.6375,0.301380357471652,88977667498.42964,0.023141268298135814,9104892975751.426,2.367996117468403,365217834.15443027,9.498567590098832e-05,0.0,0.0
201603,6745948000000.0,409846012373.6927,0.06075439839940846,3187123346235.33,0.47245003166868915,353984950448.4794,0.0524737146578182,4783934821035.946,0.7091567887917231,237869906.54967463,3.526115329523362e-05,0.0,0.0
201604,9341816500000.0,570662505683.2205,0.06108688879547361,3465092962143.0693,0.37092282450025316,70246797352.44254,0.007519607921269117,6652294285733.827,0.7120985822975464,120873449087.43927,0.012938966322817332,0.0,0.0
201605,10111283500000.0,412249622321.73694,0.04077124554184807,3005580066486.23,0.2972501034597863,49226084188.180115,0.004868430816738559,6382548780753.008,0.6312303260761117,109764446250.8431,0.01085563927179404,0.0,0.0
201606,10682528000000.0,530555125823.3723,0.04966569016466629,3884210730157.259,0.36360407669020467,329527003795.14905,0.030847286690486468,6160788664609.143,0.5767163600796686,112428475615.0753,0.010524519628226137,0.0,0.0
201607,11883645000000.0,675481699788.8159,0.0568412889975101,3084334588084.4297,0.25954449060742135,68044897.7323276,5.725928175431662e-06,7773124769595.248,0.6541027411703436,342460897633.7728,0.028817833049857414,0.0,0.0
201608,12490670000000.0,740093007229.6284,0.05925166602188901,3097227070256.187,0.24796324538685172,31743359690.448624,0.002541365650557466,5649323929790.22,0.452283498786712,277656833033.5119,0.02222913847163618,0.0,0.0
201609,12939617440000.0,625151661241.2732,0.04831299411594298,3915462097693.4346,0.30259488859304595,61134973930.605995,0.004724635346762307,6668175055244.545,0.5153301545555233,428491211890.1411,0.0331146738979743,0.0,0.0
201610,13226764940000.0,947524366568.9244,0.07163689465013842,4130022772707.2764,0.31224738561863913,292841624752.22473,0.022140079307421692,7979695543554.145,0.6032991120468302,479911692417.4284,0.036283376516815034,0.0,0.0
201611,14139699940000.0,495354745773.79517,0.03503290365960872,2859211816596.3022,0.2022116331130788,96294052745.48589,0.006810190679724275,5821891797811.447,0.411740830605734,354611887072.968,0.025079166359803815,0.0,0.0
201612,13377911460000.0,438756889897.5015,0.03279711419898286,3284606387561.1675,0.24552460205631885,99205827865.62091,0.007415643926351783,5749424055743.253,0.4297699288064546,367124838932.4534,0.027442612401058112,0.0,0.0
201701,13497412960000.0,569151608007.4719,0.042167459030420885,3741766415498.909,0.2772210072098816,216066935917.25192,0.016008025875593565,7019786363139.983,0.5200838400620428,293988677436.382,0.021781113040523138,0.0,0.0
201702,14149692960000.0,941050275013.1896,0.06650676291517138,2226098384511.933,0.15732485438411473,185649624960.45688,0.013120399536956234,6549472742268.662,0.46287030826629766,265767473245.75583,0.018782561147938564,0.0,0.0
201703,14554568575000.0,661457018872.448,0.04544669362502543,3543276713618.366,0.2434477322608215,348546587782.7587,0.02394757261176728,5539398827181.477,0.38059519240552114,235190852544.94897,0.016159245898152565,0.0,0.0
201704,14699148575000.0,482624523037.3891,0.03283350192529019,3747487758940.493,0.2549459065482297,202707249310.71024,0.013790407537989678,7133792045230.506,0.48532008563839596,108105423480.90007,0.007354536416127087,0.0,0.0
201705,14561376075000.0,1274551016542.2605,0.0875295720663722,3379629263347.4536,0.23209545896900774,315613982194.7877,0.02167473599810777,8001778222612.1875,0.5495207445641217,137908915303.30743,0.009470871062802862,0.0,0.0
201706,15492205690000.0,507924149381.2908,0.03278578657841786,3063267015395.0234,0.1977295600569207,232939225416.72025,0.015035898055954629,5040262556742.016,0.3253418304402861,121880353064.94795,0.007867204677228111,0.0,0.0
