YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201601,,0,,838507000000,,1966415000000,,3414470008658,,3408735300000,,0,
201602,90478050000000.0,133514000000,0.0014756507241259068,1108862000000,0.012255591273242515,3474645153108,0.038403183458396814,6382565008658,0.07054268973146526,6262937300000,0.06922051591518606,0,0.0
201603,90587350000000.0,992912000000,0.010960824000260522,4010575008658,0.0442730139324972,5708052000000,0.06301157943134444,6578734706164,0.0726231058328122,11272064300000,0.12443309468706172,0,0.0
201604,93314850000000.0,709788000000,0.007606377763024856,3030069000000,0.032471455507885404,7565311000000,0.08107295891275612,10474933211299,0.11225365749716149,15294479300000,0.16390187949720758,0,0.0
201605,92927750000000.0,823760000000,0.008864521092999669,4302338553056,0.04629767268717902,7649554879091,0.08231722902029803,10804287505135,0.11626545897361122,22670627300000,0.24395971386372747,0,0.0
201606,95659750000000.0,2164598000000,0.022628095933765247,5363497505135,0.05606848758370161,9513856718654,0.09945517021165119,10385078879091,0.1085626805327319,27936291300000,0.29203809648258544,0,0.0
201607,98811250000000.0,1734920000000,0.017557919771281103,3546014879091,0.03588675256199066,9558675399462,0.09673671165441182,14835351718654,0.15013828606210325,30336874000000,0.3070184214854078,0,0.0
201608,101511200000000.0,5025549000000,0.04950733515119514,7177241718654,0.07070393925649583,11032907300000,0.10868660108441236,12912121527161,0.12719898422204642,32939909000000,0.32449531677292753,0,0.0
201609,107164200000000.0,2157783000000,0.020135297048827872,6179775000000,0.05766641285056017,15004108151097,0.14001045266140186,13265580527161,0.12378742646481754,35232400000000,0.32877024230106694,0,0.0
201610,105597400000000.0,1592342000000,0.0150793674844267,5198276427699,0.04922731457118262,16414836108198,0.15544735105407897,15681579151097,0.1485034589023688,39677270000000,0.3757409746830888,0,0.0
201611,104361000000000.0,1836115000000,0.01759388085587528,6113371851097,0.05857908463024501,20182995000000,0.19339595251099548,16934523370491,0.1622686958776842,40832500000000,0.3912620614980692,0,0.0
201612,106368400000000.0,4317519000000,0.040590241086638515,4799668300000,0.045123065684921464,20178783000000,0.18970655758665167,18810045358545,0.17683866034033605,39457722000000,0.3709534222569861,0,0.0
201701,102657700000000.0,1759244108198,0.017136991265126727,7692866962293,0.07493706718826741,22132710000000,0.21559717390901997,19091125288054,0.18596876111635074,39210195000000,0.3819508424599421,0,0.0
201702,104913150000000.0,1873497000000,0.017857599357182584,9332249000000,0.0889521380303613,19038129228789,0.18146561445146772,21580968375717,0.20570317806411303,40386135000000,0.38494826435008384,0,0.0
