YYYYMM,balance_amt
201601,90478100000000
201602,90587400000000
201603,93314800000000
201604,92927700000000
201605,95659800000000
201606,98811200000000
201607,101511200000000
201608,107164200000000
201609,105597400000000
201610,104361100000000
201611,106368400000000
201612,102657700000000
201701,104913200000000
201702,106992600000000
201703,104972700000000
201704,105612800000000
201705,103386600000000
201706,107050100000000
201707,106421400000000
201708,107632500000000
201709,101332600000000
201710,97812900000000
201711,98373900000000
201712,99757800000000
201801,99609900000000
201802,98334700000000
201803,95400200000000
201804,94599500000000
201805,99950400000000
201806,94007300000000
201807,96205900000000
201808,97397400000000
201809,98734200000000
201810,104794100000000
201811,101521300000000
201812,106839500000000
201901,103003000000000
201902,105173000000000
201903,106847300000000
201904,107506200000000
201905,110318500000000
201906,113961300000000
201907,116068700000000
201908,122900600000000
201909,123280200000000
201910,127314500000000
201911,136063800000000
201912,131081800000000
202001,129828100000000
202002,128864100000000
202003,124330000000000
202004,118898700000000
202005,117202700000000
202006,113122500000000
202007,112094100000000
202008,112690200000000
202009,120013100000000
202010,126979900000000
202011,129956500000000
202012,132155100000000
202101,132405800000000
202102,134777200000000
202103,134463100000000
202104,138720800000000
202105,141832200000000
202106,142664200000000
202107,141947500000000
202108,149643300000000
202109,145478400000000
202110,151279200000000
202111,149608400000000
202112,156668300000000
202201,156369500000000
202202,147506300000000
202203,134780400000000
202204,133214500000000
202205,134379400000000
202206,125081500000000
202207,127995600000000
202208,122777900000000
202209,125429100000000
202210,121598400000000
202211,112431100000000
202212,98780600000000
202301,97829400000000
202302,95347300000000
202303,83742500000000
202304,83790500000000
202305,83728800000000
202306,82227300000000
202307,85154200000000
202308,84890800000000
202309,78137900000000
202310,81970800000000
202311,83912000000000
202312,83445500000000
202401,85292100000000
202402,86148600000000
202403,74805700000000
202404,74409300000000
202405,77181600000000
202406,73372600000000
202407,76613800000000
202408,80548000000000
202409,86355400000000
202410,92209300000000
202411,94042400000000
202412,89775300000000
202501,95677900000000
202502,96710600000000
202503,91904900000000
202504,99169600000000
202505,108395100000000
202506,106887100000000
202507,112752100000000
202508,114292300000000
202509,115661300000000
202510,120394800000000
202511,119961800000000
202512,113695400000000
