YYYYMM,balance_amt
201601,22034800000000
201602,22316400000000
201603,22975300000000
201604,23516400000000
201605,23685600000000
201606,25641900000000
201607,25760200000000
201608,26194200000000
201609,26416300000000
201610,27196000000000
201611,25650500000000
201612,25697000000000
201701,26581200000000
201702,27228500000000
201703,27552500000000
201704,26919000000000
201705,28279200000000
201706,25992100000000
201707,26834500000000
201708,25730500000000
201709,29566100000000
201710,27956300000000
201711,30072800000000
201712,29146800000000
201801,27326300000000
201802,26747600000000
201803,30499500000000
201804,28888900000000
201805,31269000000000
201806,27985500000000
201807,29317900000000
201808,28562900000000
201809,27451500000000
201810,28260900000000
201811,27742800000000
201812,29385400000000
201901,29201100000000
201902,29580100000000
201903,31783000000000
201904,33037200000000
201905,33910100000000
201906,33109700000000
201907,32115600000000
201908,32543800000000
201909,32323800000000
201910,32476300000000
201911,33287200000000
201912,36009600000000
202001,36396500000000
202002,37100500000000
202003,35474700000000
202004,32770700000000
202005,34421400000000
202006,36235600000000
202007,35751400000000
202008,35701000000000
202009,34236900000000
202010,34910300000000
202011,34361000000000
202012,34438600000000
202101,33816700000000
202102,33586800000000
202103,37026200000000
202104,36337700000000
202105,34756900000000
202106,35538100000000
202107,35570000000000
202108,35289700000000
202109,34918800000000
202110,35378500000000
202111,38558700000000
202112,41231400000000
202201,39476800000000
202202,42874700000000
202203,46678500000000
202204,45302000000000
202205,48851200000000
202206,50769100000000
202207,48536900000000
202208,50026200000000
202209,51903000000000
202210,47343300000000
202211,44319200000000
202212,43661700000000
202301,43758400000000
202302,44128500000000
202303,44627700000000
202304,43417400000000
202305,44237600000000
202306,44280200000000
202307,43279400000000
202308,43106900000000
202309,42347800000000
202310,43354800000000
202311,42650100000000
202312,43200700000000
202401,41688000000000
202402,41055800000000
202403,39852400000000
202404,39012200000000
202405,38996600000000
202406,40522400000000
202407,39219500000000
202408,40374800000000
202409,42289600000000
202410,39165500000000
202411,42267900000000
202412,45012300000000
202501,43204100000000
202502,45561100000000
202503,48511400000000
202504,43873400000000
202505,46013000000000
202506,52272800000000
202507,47919800000000
202508,50657400000000
202509,53641600000000
202510,50432300000000
202511,49303700000000
202512,54328200000000
