YYYYMM,issue_amt
201601,11173932308658
201602,10536621153108
201603,13677195553056
201604,14837449505135
201605,15959277879091
201606,17650952718654
201607,13715199099462
201608,16325577427699
201609,16020608851097
201610,16521871108198
201611,16032519962293
201612,10515319288054
201701,13591813000000
201702,13391151316452
201703,11081690385098
201704,13238876000000
201705,12905887000000
201706,17670272500000
201707,12586411000000
201708,12877683000000
201709,11092387000000
201710,14495516750000
201711,18039085137500
201712,14217625242500
201801,13995752695795
201802,11836522000000
201803,9534300000000
201804,14965218250000
201805,21596031351761
201806,15433881500000
201807,16936268000000
201808,17330671900000
201809,13138688071591
201810,23278652350000
201811,18949105640000
201812,20681962509401
201901,11427149220000
201902,12648300000000
201903,13101978371591
201904,17413323816000
201905,19712333000000
201906,18493926162951
201907,23435231778338
201908,23132049108622
201909,21329698664363
201910,22557300930376
201911,28900905000000
201912,18174549802951
202001,14200293744000
202002,16968471000000
202003,13008010044274
202004,10783232443245
202005,17178935460000
202006,16321345911764
202007,19766499396000
202008,25884822000000
202009,28967255131764
202010,32266863962000
202011,31197176000000
202012,22147298000000
202101,20513474528000
202102,26252047720000
202103,20194338100000
202104,23150363094000
202105,24694793609667
202106,21837803100000
202107,24008839598582
202108,30128711492037
202109,23294156705458
202110,36211476328127
202111,26518764825349
202112,29727054239623
202201,22184476649648
202202,19430847510089
202203,14733366615888
202204,25230393032921
202205,23463021353596
202206,17272970691715
202207,32010118663164
202208,20065388662553
202209,29667036717776
202210,18771235697848
202211,15606482069965
202212,19551054694279
202301,18839056815218
202302,17067564357825
202303,14580892247259
202304,22442422809230
202305,21656720961400
202306,16539546889934
202307,22553181308897
202308,17106567977761
202309,17881453022061
202310,26396087635548
202311,19030384794757
202312,18120694870438
202401,23431659068936
202402,15684517468402
202403,10949242409725
202404,22910786554772
202405,18522654368108
202406,17093482881260
202407,24799098207402
202408,19286208976157
202409,25598351906751
202410,28631598384237
202411,17484693233272
202412,19035118387728
202501,26476804166075
202502,18061268776113
202503,15161013567351
202504,26155908963958
202505,24596968882957
202506,22274421532387
202507,29984658354012
202508,19068289747915
202509,29427578403016
202510,30222929696789
202511,20045656835695
202512,29253376964275
202601,30136360009450
