YYYYMM,issue_amt
201601,13681898512703
201602,12429667077887
201603,14459463890055
201604,13323368914812
201605,11764550000000
201606,11643880000000
201607,13925686731582
201608,13168647565627
201609,13082060000000
201610,14763592343886
201611,12431341335887
201612,11954246335887
201701,11279390000000
201702,12318300000000
201703,11776347000000
201704,15030130000000
201705,14117870000000
201706,11564500000000
201707,15871000000000
201708,14083863101400
201709,12938100000000
201710,13043350000000
201711,14295604989842
201712,12306615886425
201801,15900800000000
201802,14652000000000
201803,14940900000000
201804,16163550000000
201805,15253150000000
201806,12554200000000
201807,16893500000000
201808,15356030000000
201809,11547800000000
201810,14727200000000
201811,15258800000000
201812,13434050000000
201901,15647200000000
201902,14906000000000
201903,13617350000000
201904,17803400000000
201905,15712500000000
201906,14618200000000
201907,18247300000000
201908,15386680000000
201909,15701500000000
201910,16238100000000
201911,17811100000000
201912,15427300000000
202001,17266600000000
202002,15837500000000
202003,21247200000000
202004,15512400000000
202005,12597200000000
202006,10469650000000
202007,14264830000000
202008,11291000000000
202009,12164300000000
202010,14379280000000
202011,11686300000000
202012,12967800000000
202101,14049650000000
202102,11481050000000
202103,11824300000000
202104,15389200000000
202105,14051100000000
202106,14217800000000
202107,15596400000000
202108,13567800000000
202109,15065800000000
202110,18681400000000
202111,17207700000000
202112,17558500000000
202201,15971800000000
202202,16875600000000
202203,18636900000000
202204,21514000000000
202205,20345139463986
202206,19771800000000
202207,22512000000000
202208,21829300000000
202209,16418900000000
202210,17319503000000
202211,22272160000000
202212,22523500000000
202301,23142700000000
202302,17824100000000
202303,19627730000000
202304,20054800000000
202305,15216900000000
202306,20704150000000
202307,20544900000000
202308,18242900000000
202309,16219700000000
202310,21808900000000
202311,24823300000000
202312,16185500000000
202401,20897100000000
202402,18967600000000
202403,18264100000000
202404,19721500000000
202405,19826000000000
202406,18367250000000
202407,21570000000000
202408,20414700000000
202409,20111800000000
202410,22366400000000
202411,25273000000000
202412,15855200000000
202501,22938500000000
202502,20445200000000
202503,18193736000000
202504,24885400000000
202505,21771700000000
202506,21686100000000
202507,24094500000000
202508,22697100000000
202509,25183000000000
202510,21483500000000
202511,27510800000000
202512,22066500000000
202601,23736800000000
202602,24521800000000
202603,27861536000000
