YYYYMM,issue_amt
201601,11248676000000
201602,10409940000000
201603,8735127000000
201604,10879170000000
201605,9959369000000
201606,11017510000000
201607,11875470000000
201608,9796044200000
201609,11698415000000
201610,13829996000000
201611,9627364300000
201612,9939118000000
201701,11840760000000
201702,10168038500000
201703,10327870000000
201704,11674717000000
201705,13109481400000
201706,8966273300000
201707,13167305500000
201708,11849899250000
201709,11208682600000
201710,13309954600000
201711,14837162800000
201712,8903827000000
201801,11707179200000
201802,13977742400000
201803,12883653550000
201804,12688230050000
201805,15614014950000
201806,10209221800000
201807,14385379700000
201808,15787527900000
201809,9998649150000
201810,14399021450000
201811,15988649250000
201812,11121547100000
201901,16935224700000
201902,15786489200000
201903,15429159200000
201904,19003348000000
201905,16633443900000
201906,14702494780000
201907,18224548100000
201908,18585450000000
201909,16063568381322
201910,16813054300000
201911,20629238000000
201912,17306965480000
202001,18237719300000
202002,19593146200000
202003,17207874880000
202004,16298653050000
202005,19895404100000
202006,18515910100000
202007,19583697040000
202008,21226579440000
202009,16980181400000
202010,20150065517143
202011,23405437621605
202012,15291430969611
202101,19313383140864
202102,20115634040864
202103,21700113498007
202104,20055607970864
202105,22494863540864
202106,20592303714609
202107,20438723170864
202108,22017038014841
202109,19874342229127
202110,22821090376052
202111,26846172664448
202112,22635629542216
202201,22937935211495
202202,30114266640700
202203,28362980518911
202204,29654320058431
202205,35153363672955
202206,31185871445247
202207,32509916895445
202208,35237474679022
202209,29087831347675
202210,27377093507683
202211,29928160790000
202212,25241083611236
202301,28149843177683
202302,27291708743409
202303,27533269666727
202304,24338798435761
202305,28536877387791
202306,24580442468284
202307,22961596879533
202308,26017889602943
202309,21548335810499
202310,26406447671572
202311,27049347706162
202312,21727598560069
202401,23198775020711
202402,24334023408541
202403,21565303121569
202404,22051728159034
202405,22240084350580
202406,22456538792503
202407,20777031082367
202408,21416008666680
202409,23644951358810
202410,22259351368446
202411,25663887770000
202412,25078180582400
202501,25689752169034
202502,27160393146666
202503,29446597245214
202504,28898319879509
202505,30083210733333
202506,30745553732306
202507,28502274429282
202508,31570345333333
202509,32607446473298
202510,28985510951427
202511,28384189706560
202512,31952029298324
202601,23649360061678
202602,29966959185904
202603,38288782679604
