YYYYMM,balance_amt
201601,22034800000000.0
201602,22316400000000.0
201603,22975300000000.0
201604,23516400000000.0
201605,23685600000000.0
201606,25641900000000.0
201607,25760200000000.0
201608,26194200000000.0
201609,26416300000000.0
201610,27196000000000.0
201611,25650500000000.0
201612,25697000000000.0
201701,26581200000000.0
201702,27228500000000.0
201703,27552500000000.0
201704,26919000000000.0
201705,28279200000000.0
201706,25992100000000.0
201707,26834500000000.0
201708,25730500000000.0
201709,29566100000000.0
201710,27956300000000.0
201711,30072800000000.0
201712,29146800000000.0
201801,27326300000000.0
201802,26747600000000.0
201803,30499500000000.0
201804,28888900000000.0
201805,31269000000000.0
201806,27985500000000.0
201807,29317900000000.0
201808,28562900000000.0
201809,27451500000000.0
201810,28260900000000.0
201811,27742800000000.0
201812,29385400000000.0
201901,29201100000000.0
201902,29580100000000.0
201903,31783000000000.0
201904,33037200000000.0
201905,33910100000000.0
201906,33109700000000.0
201907,32115600000000.0
201908,32543800000000.0
201909,32323800000000.0
201910,32476300000000.0
201911,33287200000000.0
201912,36009600000000.0
202001,36396500000000.0
202002,37100500000000.0
202003,35474700000000.0
202004,32770700000000.0
202005,34421400000000.0
202006,36235600000000.0
202007,35751400000000.0
202008,35701000000000.0
202009,34236900000000.0
202010,34910300000000.0
202011,34361000000000.0
202012,34438600000000.0
202101,33816700000000.0
202102,33586800000000.0
202103,37026200000000.0
202104,36337700000000.0
202105,34756900000000.0
202106,35538100000000.0
202107,35570000000000.0
202108,35289700000000.0
202109,34918800000000.0
202110,35378500000000.0
202111,38558700000000.0
202112,41231400000000.0
202201,39476800000000.0
202202,42874700000000.0
202203,46678500000000.0
202204,45302000000000.0
202205,48851200000000.0
202206,50769100000000.0
202207,48536900000000.0
202208,50026200000000.0
202209,51903000000000.0
202210,47343300000000.0
202211,44319200000000.0
202212,43661700000000.0
202301,43758400000000.0
202302,44128500000000.0
202303,44627700000000.0
202304,43417400000000.0
202305,44237600000000.0
202306,44280200000000.0
202307,43279400000000.0
202308,43106900000000.0
202309,42347800000000.0
202310,43354800000000.0
202311,42650100000000.0
202312,43200700000000.0
202401,41688000000000.0
202402,41055800000000.0
202403,39852400000000.0
202404,39012200000000.0
202405,38996600000000.0
202406,40522400000000.0
202407,39219500000000.0
202408,40374800000000.0
202409,42289600000000.0
202410,39165500000000.0
202411,42267900000000.0
202412,45012300000000.0
202501,43204100000000.0
202502,45561100000000.0
202503,48511400000000.0
202504,43873400000000.0
202505,46013000000000.0
202506,52272800000000.0
202507,47919800000000.0
202508,50657400000000.0
202509,53641600000000.0
202510,50432300000000.0
202511,49303700000000.0
202512,54328200000000.0
202601,50891500000000.0
202602,50939500000000.0
202603,57403000000000.0
